gameTeamStatsID,gameID,teamID,score,rebounds,assists,blocks,steals,duration,isWin
54,27,378,104,43,26,7,8,48,0
55,28,489,109,47,21,3,13,48,1
56,28,206,100,42,16,7,13,48,0
57,29,158,72,39,30,3,10,48,0
58,29,277,74,48,23,8,15,48,1
59,30,498,116,32,21,3,10,48,1
60,30,49,85,41,27,4,12,48,0
61,31,210,111,44,23,4,10,48,1
62,31,133,108,38,19,4,5,48,0
63,32,303,118,42,17,8,7,48,1
64,32,95,117,42,16,5,14,48,0
65,33,244,103,47,20,4,7,48,1
66,33,308,99,30,17,2,6,48,0
67,34,358,116,50,19,6,12,48,0
68,34,336,119,33,28,5,10,48,1
69,35,347,82,39,28,4,7,48,0
70,35,493,104,48,27,2,12,48,1
71,36,316,72,35,25,8,13,48,0
72,36,213,73,38,29,4,7,48,1
73,37,431,114,46,28,6,9,48,1
74,37,6,70,44,18,5,10,48,0
75,38,267,116,41,24,2,8,48,0
76,38,160,119,40,25,8,9,48,1
77,39,232,98,33,17,5,5,48,0
78,39,85,104,47,28,6,15,48,1
79,40,286,85,36,24,8,5,48,1
80,40,240,78,40,16,4,13,48,0
81,41,272,74,41,26,4,12,48,0
82,41,431,84,35,24,7,13,48,1
83,42,356,98,35,26,6,11,48,0
84,42,309,115,32,18,4,11,48,1
85,43,252,100,30,21,3,13,48,1
86,43,213,77,35,16,5,5,48,0
87,44,450,89,40,28,6,13,48,1
88,44,229,86,32,18,7,12,48,0
89,45,105,76,40,25,4,5,48,0
90,45,408,107,48,17,2,11,48,1
91,46,192,116,40,21,8,10,48,1
92,46,318,79,44,21,3,11,48,0
93,47,382,105,48,20,4,14,48,1
94,47,56,100,37,17,3,11,48,0
95,48,414,106,48,26,2,13,48,0
96,48,244,115,45,21,4,8,48,1
97,49,241,107,39,20,4,14,48,0
98,49,224,114,46,28,2,10,48,1
99,50,281,88,40,29,5,10,48,1
100,50,270,73,41,17,5,8,48,0
101,51,112,114,37,21,8,8,48,1
102,51,274,108,34,23,4,5,48,0
103,52,170,116,43,28,7,11,48,1
104,52,237,113,43,18,7,6,48,0
105,53,125,77,38,19,2,13,48,0
106,53,229,94,49,17,2,8,48,1
107,54,488,107,36,18,5,8,48,1
108,54,327,73,49,15,6,15,48,0
109,55,72,87,37,23,3,13,48,1
110,55,477,74,40,26,6,9,48,0
111,56,475,71,36,15,2,8,48,0
112,56,188,98,38,24,2,12,48,1
113,57,347,104,45,19,6,13,48,0
114,57,135,106,42,18,3,8,48,1
115,58,423,113,37,19,2,10,48,0
116,58,149,120,49,19,8,12,48,1
117,59,420,87,46,21,6,11,48,0
118,59,170,89,49,18,3,7,48,1
119,60,370,107,38,30,4,11,48,0
120,60,273,116,39,21,8,11,48,1
121,61,218,106,38,26,5,5,48,1
122,61,21,102,36,27,7,6,48,0
123,62,468,73,46,29,6,5,48,0
124,62,349,108,30,19,4,8,48,1
125,63,418,82,43,30,3,13,48,0
126,63,95,94,38,21,3,8,48,1
127,64,247,88,36,25,2,12,48,0
128,64,116,107,38,15,3,13,48,1
129,65,437,108,43,23,3,14,48,1
130,65,111,106,45,21,4,13,48,0
131,66,422,93,44,19,8,9,48,1
132,66,437,70,47,29,8,9,48,0
133,67,4,100,39,27,8,9,48,0
134,67,421,102,35,29,2,5,48,1
135,68,355,105,42,18,2,9,48,0
136,68,460,110,35,15,6,13,48,1
137,69,113,73,32,18,4,7,48,0
138,69,241,119,41,30,6,8,48,1
139,70,161,97,47,24,6,13,48,0
140,70,267,99,45,22,7,5,48,1
141,71,130,113,48,24,5,6,48,1
142,71,228,76,31,24,5,7,48,0
143,72,130,91,30,29,8,9,48,0
144,72,79,94,41,30,2,9,48,1
145,73,200,75,46,25,6,13,48,0
146,73,357,82,48,21,3,10,48,1
147,74,391,76,35,27,7,7,48,0
148,74,433,97,32,27,4,11,48,1
149,75,228,94,47,17,5,12,48,0
150,75,358,100,47,23,5,6,48,1
151,76,441,107,46,20,4,9,48,1
152,76,137,101,43,18,6,15,48,0
153,77,13,105,47,19,5,5,48,1
154,77,284,98,30,21,6,11,48,0
155,78,417,108,43,18,3,5,48,0
156,78,430,115,30,20,4,6,48,1
157,79,414,107,34,20,2,8,48,1
158,79,45,103,36,23,2,11,48,0
159,80,51,117,34,17,8,14,48,1
160,80,62,81,50,26,8,7,48,0
161,81,38,111,48,20,6,14,48,1
162,81,352,92,49,29,6,13,48,0
163,82,332,115,38,25,8,13,48,1
164,82,124,92,38,21,3,6,48,0
165,83,30,114,33,24,8,15,48,1
166,83,131,98,42,19,8,12,48,0
167,84,482,80,39,19,4,11,48,0
168,84,346,80,45,23,8,5,48,1
169,85,263,93,33,18,7,14,48,0
170,85,96,116,37,17,4,6,48,1
171,86,295,95,31,15,7,14,48,0
172,86,14,113,33,17,3,12,48,1
173,87,205,84,33,23,4,9,48,1
174,87,123,71,35,28,5,10,48,0
175,88,436,101,36,25,7,10,48,1
176,88,157,86,42,28,2,9,48,0
177,89,245,112,48,25,5,10,48,1
178,89,97,72,44,18,2,5,48,0
179,90,35,96,49,28,6,5,48,0
180,90,106,107,31,20,2,13,48,1
181,91,397,80,44,19,5,10,48,1
182,91,107,75,32,28,8,13,48,0
183,92,361,87,44,28,5,9,48,0
184,92,327,103,42,29,5,13,48,1
185,93,346,79,36,30,2,13,48,0
186,93,2,91,35,28,5,13,48,1
187,94,273,84,33,22,8,11,48,0
188,94,40,94,35,28,2,15,48,1
189,95,344,92,43,18,3,8,48,0
190,95,407,99,46,29,3,7,48,1
191,96,79,77,31,29,2,14,48,0
192,96,327,84,32,28,5,14,48,1
193,97,6,101,38,28,2,11,48,1
194,97,128,98,32,29,4,14,48,0
195,98,447,88,38,23,3,13,48,0
196,98,332,108,36,28,3,5,48,1
197,99,207,90,30,20,4,10,48,1
198,99,444,86,36,29,4,12,48,0
199,100,472,72,30,19,2,7,48,0
200,100,91,103,31,18,8,6,48,1
201,101,3,94,41,22,2,11,48,0
202,101,382,99,40,27,8,14,48,1
203,102,328,87,37,24,6,14,48,1
204,102,205,80,35,30,3,7,48,0
205,103,465,116,35,23,5,15,48,1
206,103,239,113,42,26,6,11,48,0
207,104,148,108,30,29,3,15,48,1
208,104,309,96,50,27,6,5,48,0
209,105,23,101,34,17,5,13,48,1
210,105,454,96,34,15,8,10,48,0
211,106,71,92,41,25,7,10,48,0
212,106,297,116,43,19,8,11,48,1
213,107,497,70,46,28,4,8,48,0
214,107,498,112,38,20,5,14,48,1
215,108,62,108,44,26,6,8,48,1
216,108,284,100,38,15,6,5,48,0
217,109,1,93,33,20,2,12,48,1
218,109,127,77,41,20,5,11,48,0
219,110,244,89,38,17,8,12,48,0
220,110,298,109,37,18,7,11,48,1
221,111,452,71,42,24,6,6,48,0
222,111,252,87,30,26,5,5,48,1
223,112,124,72,43,24,5,10,48,0
224,112,68,102,33,27,5,8,48,1
225,113,379,72,46,16,8,10,48,0
226,113,392,101,31,21,2,15,48,1
227,114,378,84,48,23,4,7,48,0
228,114,361,84,32,22,5,9,48,1
229,115,448,85,31,25,2,6,48,0
230,115,436,114,48,15,8,13,48,1
231,116,364,78,33,16,6,7,48,0
232,116,81,98,32,21,5,12,48,1
233,117,460,99,44,20,2,8,48,0
234,117,264,103,39,16,7,9,48,1
235,118,369,101,31,24,2,12,48,1
236,118,292,96,41,21,5,13,48,0
237,119,285,115,44,20,5,9,48,1
238,119,278,110,41,19,5,9,48,0
239,120,245,87,48,27,3,7,48,1
240,120,382,76,50,28,4,15,48,0
241,121,10,105,32,25,7,12,48,0
242,121,419,106,42,24,3,13,48,1
243,122,399,91,39,22,7,14,48,0
244,122,44,102,43,27,5,11,48,1
245,123,345,98,41,27,2,9,48,1
246,123,51,78,38,20,5,8,48,0
247,124,119,116,30,18,2,10,48,1
248,124,320,93,49,28,2,5,48,0
249,125,251,73,43,18,8,5,48,0
250,125,218,108,39,29,2,12,48,1
251,126,240,102,50,30,2,13,48,1
252,126,85,82,38,19,7,9,48,0
253,127,183,81,39,24,6,13,48,0
254,127,344,117,45,28,8,6,48,1
255,128,29,78,35,19,6,9,48,0
256,128,150,89,48,30,8,7,48,1
257,129,12,74,35,24,2,10,48,0
258,129,490,95,41,20,2,7,48,1
259,130,247,71,32,26,8,15,48,0
260,130,491,109,48,28,4,11,48,1
261,131,283,73,30,17,8,12,48,0
262,131,8,110,49,15,4,6,48,1
263,132,13,96,42,19,3,9,48,1
264,132,231,91,30,20,4,7,48,0
265,133,244,95,30,25,6,15,48,1
266,133,112,82,30,25,8,13,48,0
267,134,414,110,46,20,2,15,48,0
268,134,210,117,47,22,8,5,48,1
269,135,125,114,46,25,4,8,48,1
270,135,111,92,40,21,7,6,48,0
271,136,356,81,40,17,5,5,48,0
272,136,22,112,42,20,5,14,48,1
273,137,113,103,49,15,4,15,48,1
274,137,66,87,49,27,2,15,48,0
275,138,115,113,38,16,2,14,48,1
276,138,396,98,31,30,7,6,48,0
277,139,229,110,44,18,8,9,48,1
278,139,245,101,49,15,8,14,48,0
279,140,254,96,34,29,3,11,48,1
280,140,120,90,31,21,7,7,48,0
281,141,456,120,43,29,3,10,48,1
282,141,483,73,36,18,5,11,48,0
283,142,31,87,30,20,7,12,48,0
284,142,28,106,49,30,7,9,48,1
285,143,283,93,30,27,7,13,48,0
286,143,333,108,41,15,8,6,48,1
287,144,48,91,47,16,4,6,48,1
288,144,93,81,39,26,6,6,48,0
289,145,339,120,46,19,8,6,48,1
290,145,467,117,39,18,7,10,48,0
291,146,185,117,38,20,8,14,48,1
292,146,355,85,32,20,5,6,48,0
293,147,464,92,49,17,2,14,48,0
294,147,105,106,30,23,6,8,48,1
295,148,322,98,35,27,5,8,48,1
296,148,48,89,36,28,7,6,48,0
297,149,79,92,46,26,4,11,48,0
298,149,151,116,47,24,7,10,48,1
299,150,468,112,49,20,4,12,48,1
300,150,52,92,42,21,3,10,48,0
301,151,485,94,35,22,5,5,48,0
302,151,483,101,34,27,6,8,48,1
303,152,429,92,39,17,8,11,48,0
304,152,154,116,30,17,5,14,48,1
305,153,115,78,36,21,3,12,48,0
306,153,418,89,41,15,5,14,48,1
307,154,374,103,32,19,5,5,48,1
308,154,39,71,32,23,3,10,48,0
309,155,307,101,32,15,7,14,48,0
310,155,464,103,44,27,3,9,48,1
311,156,81,105,36,28,5,12,48,1
312,156,15,88,36,27,7,9,48,0
313,157,436,77,40,26,5,12,48,0
314,157,239,119,48,18,8,13,48,1
315,158,352,77,37,19,7,9,48,0
316,158,134,91,46,21,3,8,48,1
317,159,113,80,47,30,3,6,48,0
318,159,294,88,31,29,3,10,48,1
319,160,354,108,48,21,7,6,48,1
320,160,54,95,30,20,7,14,48,0
321,161,439,74,45,18,3,14,48,0
322,161,305,102,48,29,4,10,48,1
323,162,464,117,40,23,5,14,48,0
324,162,332,119,36,29,5,12,48,1
325,163,255,109,45,21,4,7,48,1
326,163,433,94,39,15,8,12,48,0
327,164,362,70,36,29,3,15,48,0
328,164,317,91,30,15,5,9,48,1
329,165,101,115,39,22,8,14,48,1
330,165,256,108,41,27,4,15,48,0
331,166,153,91,40,15,4,10,48,0
332,166,6,118,50,22,4,10,48,1
333,167,19,92,46,26,7,7,48,0
334,167,338,116,35,15,3,7,48,1
335,168,330,79,47,22,8,6,48,0
336,168,196,102,48,28,5,9,48,1
337,169,497,95,38,22,3,13,48,0
338,169,293,119,39,23,6,15,48,1
339,170,384,74,47,19,2,7,48,0
340,170,148,80,40,22,3,11,48,1
341,171,285,90,45,27,7,12,48,0
342,171,161,104,38,16,3,11,48,1
343,172,9,106,49,28,4,6,48,1
344,172,185,90,44,19,5,7,48,0
345,173,346,101,50,22,8,10,48,0
346,173,119,103,42,21,4,13,48,1
347,174,357,110,47,25,7,5,48,1
348,174,219,95,46,16,7,12,48,0
349,175,397,98,45,21,5,12,48,1
350,175,252,81,31,25,7,8,48,0
351,176,464,91,44,20,8,14,48,1
352,176,222,78,33,22,7,11,48,0
353,177,51,94,46,18,7,11,48,0
354,177,190,113,43,27,7,14,48,1
355,178,461,120,44,25,8,6,48,1
356,178,43,87,32,20,6,8,48,0
357,179,68,97,49,26,8,14,48,1
358,179,485,73,48,19,6,10,48,0
359,180,196,79,36,26,7,9,48,1
360,180,117,70,42,26,5,14,48,0
361,181,71,111,33,25,8,14,48,0
362,181,269,113,41,22,2,11,48,1
363,182,361,105,33,28,6,10,48,1
364,182,493,95,36,23,5,13,48,0
365,183,321,103,45,28,6,6,48,0
366,183,265,105,34,16,8,8,48,1
367,184,37,88,39,18,8,8,48,0
368,184,169,113,50,26,3,15,48,1
369,185,289,89,46,25,2,12,48,0
370,185,59,116,33,25,4,9,48,1
371,186,152,91,50,19,6,12,48,0
372,186,206,100,47,30,8,9,48,1
373,187,90,113,34,27,4,8,48,1
374,187,169,94,46,17,4,5,48,0
375,188,216,79,41,30,2,8,48,0
376,188,279,113,49,24,7,6,48,1
377,189,399,98,36,17,4,7,48,1
378,189,10,70,50,30,2,7,48,0
379,190,231,108,41,16,7,9,48,1
380,190,393,88,43,20,7,15,48,0
381,191,394,81,30,15,7,5,48,0
382,191,433,106,38,19,6,9,48,1
383,192,295,81,36,28,6,10,48,0
384,192,146,86,34,30,6,9,48,1
385,193,418,107,39,28,5,10,48,0
386,193,423,111,34,28,4,5,48,1
387,194,308,76,43,25,2,12,48,0
388,194,491,90,44,18,2,5,48,1
389,195,300,119,48,15,2,8,48,1
390,195,384,98,45,25,7,7,48,0
391,196,431,109,48,20,8,12,48,0
392,196,71,113,35,17,8,9,48,1
393,197,489,105,45,16,5,6,48,1
394,197,392,95,44,23,7,14,48,0
395,198,143,104,40,19,3,14,48,0
396,198,318,105,47,24,2,14,48,1
397,199,190,119,38,18,5,10,48,1
398,199,416,98,31,21,6,8,48,0
399,200,292,70,50,23,4,10,48,0
400,200,171,96,39,24,6,9,48,1
401,201,144,95,30,19,4,10,48,1
402,201,1,86,37,17,7,15,48,0
403,202,228,82,47,21,3,12,48,0
404,202,163,114,40,26,2,7,48,1
405,203,6,111,33,20,2,6,48,0
406,203,123,118,44,23,8,6,48,1
407,204,161,85,48,16,6,12,48,0
408,204,315,103,39,21,6,14,48,1
409,205,83,76,30,28,7,14,48,0
410,205,29,114,30,20,6,5,48,1
411,206,301,101,35,16,4,6,48,1
412,206,186,74,37,21,3,15,48,0
413,207,412,102,47,19,3,8,48,1
414,207,260,90,34,30,6,7,48,0
415,208,150,79,34,18,2,11,48,0
416,208,273,79,31,21,5,14,48,1
417,209,25,120,33,27,2,10,48,1
418,209,396,70,49,15,4,9,48,0
419,210,102,110,43,25,5,8,48,1
420,210,162,106,50,26,4,11,48,0
421,211,416,101,48,18,5,10,48,0
422,211,412,103,47,19,6,7,48,1
423,212,217,77,30,20,7,6,48,0
424,212,218,97,36,24,5,9,48,1
425,213,292,96,44,25,7,9,48,0
426,213,398,115,31,24,5,15,48,1
427,214,336,107,49,29,6,15,48,0
428,214,349,109,50,21,5,6,48,1
429,215,197,94,30,29,6,11,48,1
430,215,443,71,50,23,4,9,48,0
431,216,292,83,42,19,6,6,48,0
432,216,407,116,41,22,8,10,48,1
433,217,439,72,41,23,5,6,48,0
434,217,381,87,47,20,4,15,48,1
435,218,300,109,44,15,5,10,48,1
436,218,73,70,30,28,6,15,48,0
437,219,250,115,49,30,4,13,48,1
438,219,465,100,49,25,2,9,48,0
439,220,302,77,43,17,8,15,48,0
440,220,11,79,34,19,8,15,48,1
441,221,443,79,48,28,2,7,48,0
442,221,497,116,47,20,7,12,48,1
443,222,83,102,39,16,8,10,48,1
444,222,453,86,48,22,2,9,48,0
445,223,450,88,49,24,2,6,48,1
446,223,193,80,47,15,3,12,48,0
447,224,286,75,43,16,6,7,48,0
448,224,73,90,40,23,4,6,48,1
449,225,239,82,38,18,4,5,48,0
450,225,451,93,45,27,2,12,48,1
451,226,443,88,40,15,8,12,48,0
452,226,426,96,42,20,6,8,48,1
453,227,151,100,48,24,4,7,48,0
454,227,24,110,40,26,3,6,48,1
455,228,234,88,32,18,8,10,48,1
456,228,147,74,33,18,7,7,48,0
457,229,464,98,43,24,2,7,48,1
458,229,266,83,33,21,6,7,48,0
459,230,366,75,39,27,7,9,48,0
460,230,485,96,47,15,5,9,48,1
461,231,397,93,30,24,8,15,48,1
462,231,210,84,33,23,8,12,48,0
463,232,13,101,49,23,6,10,48,0
464,232,212,104,36,16,5,8,48,1
465,233,200,99,39,26,3,8,48,1
466,233,93,73,41,15,7,8,48,0
467,234,66,111,40,29,6,11,48,1
468,234,122,99,35,16,5,13,48,0
469,235,225,120,39,19,4,11,48,1
470,235,272,73,36,28,7,15,48,0
471,236,2,73,44,20,7,6,48,0
472,236,484,93,30,26,6,15,48,1
473,237,473,78,43,15,6,11,48,0
474,237,148,107,41,18,4,8,48,1
475,238,221,99,40,27,4,13,48,1
476,238,132,84,41,20,4,11,48,0
477,239,257,91,32,23,8,13,48,1
478,239,173,89,42,16,8,6,48,0
479,240,115,105,46,21,7,13,48,1
480,240,159,97,49,26,7,9,48,0
481,241,57,83,50,24,8,7,48,0
482,241,56,96,46,30,8,11,48,1
483,242,119,115,34,20,8,11,48,1
484,242,332,99,37,21,5,14,48,0
485,243,141,96,44,24,6,6,48,0
486,243,75,105,38,20,3,13,48,1
487,244,164,72,35,28,3,6,48,0
488,244,93,102,41,25,4,8,48,1
489,245,179,86,39,30,3,13,48,1
490,245,470,71,40,25,2,11,48,0
491,246,26,101,43,27,6,7,48,1
492,246,339,71,37,28,7,15,48,0
493,247,284,80,46,25,6,7,48,0
494,247,373,84,42,15,3,7,48,1
495,248,231,78,31,30,5,12,48,1
496,248,120,72,44,23,6,12,48,0
497,249,143,104,44,22,3,13,48,1
498,249,131,98,39,28,2,15,48,0
499,250,289,70,35,26,6,12,48,0
500,250,71,108,50,25,6,8,48,1
501,251,97,80,35,24,6,5,48,0
502,251,213,114,43,18,2,8,48,1
503,252,294,81,44,24,6,14,48,0
504,252,63,92,31,15,7,5,48,1
505,253,135,87,50,19,2,7,48,0
506,253,486,114,47,28,4,10,48,1
507,254,103,97,32,17,3,15,48,1
508,254,309,92,37,26,2,7,48,0
509,255,295,98,31,22,5,13,48,1
510,255,216,75,33,19,8,13,48,0
511,256,304,108,43,24,8,7,48,1
512,256,297,81,31,29,6,12,48,0
513,257,298,77,34,21,6,13,48,0
514,257,445,109,50,27,3,14,48,1
515,258,87,81,49,27,5,7,48,0
516,258,210,113,32,19,8,10,48,1
517,259,6,109,41,15,5,5,48,0
518,259,70,110,50,17,3,6,48,1
519,260,40,95,43,18,2,5,48,0
520,260,35,100,40,18,5,15,48,1
521,261,356,105,31,16,5,10,48,1
522,261,436,100,30,16,4,7,48,0
523,262,463,72,47,18,7,14,48,0
524,262,267,114,43,16,3,12,48,1
525,263,391,101,50,17,3,7,48,0
526,263,136,113,36,23,8,5,48,1
527,264,474,116,35,26,3,7,48,1
528,264,16,90,34,21,3,14,48,0
529,265,35,96,44,15,7,13,48,0
530,265,392,112,43,28,2,15,48,1
531,266,224,106,48,16,7,11,48,1
532,266,130,74,39,26,4,12,48,0
533,267,417,71,50,23,2,5,48,0
534,267,181,72,38,16,8,15,48,1
535,268,491,97,40,18,8,7,48,1
536,268,392,78,47,27,7,8,48,0
537,269,420,115,39,30,8,5,48,1
538,269,262,74,39,27,4,13,48,0
539,270,363,117,42,22,7,10,48,1
540,270,311,97,49,21,6,10,48,0
541,271,254,115,46,15,8,10,48,1
542,271,456,111,30,22,6,13,48,0
543,272,283,72,36,21,3,9,48,0
544,272,366,100,41,19,6,9,48,1
545,273,219,96,49,19,2,6,48,0
546,273,286,111,33,30,2,7,48,1
547,274,384,84,40,22,5,10,48,0
548,274,36,119,30,28,2,7,48,1
549,275,342,85,30,17,8,7,48,1
550,275,171,83,49,24,5,8,48,0
551,276,86,93,48,15,3,6,48,0
552,276,230,106,39,18,7,10,48,1
553,277,317,71,43,20,6,5,48,0
554,277,261,90,30,27,4,6,48,1
555,278,59,99,43,28,6,15,48,1
556,278,474,76,44,30,2,11,48,0
557,279,428,100,37,22,6,5,48,0
558,279,355,111,43,21,8,8,48,1
559,280,279,90,49,22,5,10,48,1
560,280,480,84,35,30,3,15,48,0
561,281,227,93,31,20,3,12,48,1
562,281,50,89,38,15,3,15,48,0
563,282,14,104,48,15,8,12,48,1
564,282,380,87,33,21,5,7,48,0
565,283,341,72,39,28,7,8,48,0
566,283,178,107,34,25,8,11,48,1
567,284,136,94,34,21,8,8,48,1
568,284,406,86,30,16,6,9,48,0
569,285,402,114,39,18,3,15,48,1
570,285,326,106,30,29,7,8,48,0
571,286,196,108,39,30,3,14,48,1
572,286,229,95,48,30,6,12,48,0
573,287,279,97,37,29,2,6,48,0
574,287,248,104,39,17,3,12,48,1
575,288,127,73,37,16,8,11,48,0
576,288,442,120,32,25,6,13,48,1
577,289,203,86,37,28,4,12,48,0
578,289,342,99,50,18,2,13,48,1
579,290,77,96,40,15,6,7,48,0
580,290,128,102,45,17,2,6,48,1
581,291,66,77,40,30,6,7,48,0
582,291,423,105,37,24,4,10,48,1
583,292,382,106,38,19,3,8,48,0
584,292,169,114,35,16,3,5,48,1
585,293,398,96,32,15,8,15,48,0
586,293,115,112,49,24,6,13,48,1
587,294,320,99,36,20,4,9,48,1
588,294,102,91,49,28,2,6,48,0
589,295,438,80,30,20,7,14,48,0
590,295,83,107,50,23,2,9,48,1
591,296,360,113,39,27,5,13,48,1
592,296,307,90,43,30,2,5,48,0
593,297,82,110,41,26,8,9,48,0
594,297,155,120,38,16,6,7,48,1
595,298,332,106,34,22,8,13,48,1
596,298,347,96,41,28,6,12,48,0
597,299,34,92,45,27,5,11,48,0
598,299,181,95,48,15,5,8,48,1
599,300,232,83,44,30,6,8,48,0
600,300,177,114,44,19,6,5,48,1
601,301,496,80,49,27,8,14,48,0
602,301,412,81,41,15,8,13,48,1
603,302,430,96,34,24,4,9,48,1
604,302,25,82,50,30,2,9,48,0
605,303,177,79,40,29,2,7,48,0
606,303,491,94,32,23,3,5,48,1
607,304,485,102,48,15,2,14,48,0
608,304,119,106,41,24,8,15,48,1
609,305,416,95,42,25,4,13,48,1
610,305,285,94,38,18,2,14,48,0
611,306,491,80,45,17,5,6,48,0
612,306,340,96,41,21,6,13,48,1
613,307,38,116,47,27,2,5,48,1
614,307,117,97,47,23,5,7,48,0
615,308,298,100,44,24,6,7,48,1
616,308,149,86,46,19,5,13,48,0
617,309,193,80,45,27,3,7,48,1
618,309,158,79,31,27,3,13,48,0
619,310,53,81,38,16,4,12,48,0
620,310,303,86,49,20,3,12,48,1
621,311,190,88,42,21,3,5,48,0
622,311,448,118,43,22,2,7,48,1
623,312,338,109,38,20,3,5,48,1
624,312,469,99,44,29,2,10,48,0
625,313,397,99,35,28,5,5,48,0
626,313,188,112,46,22,6,9,48,1
627,314,268,73,37,27,8,6,48,0
628,314,161,96,44,19,4,6,48,1
629,315,69,104,46,18,4,15,48,1
630,315,256,72,41,25,8,10,48,0
631,316,6,115,32,22,4,11,48,1
632,316,404,105,46,16,8,15,48,0
633,317,143,73,45,19,3,7,48,0
634,317,111,85,46,29,8,15,48,1
635,318,290,90,31,18,2,11,48,0
636,318,382,109,31,30,4,5,48,1
637,319,141,74,33,26,7,12,48,0
638,319,256,105,40,30,2,15,48,1
639,320,127,87,44,24,7,15,48,1
640,320,347,70,39,28,2,8,48,0
641,321,250,89,48,23,2,9,48,0
642,321,422,97,35,25,7,11,48,1
643,322,336,89,47,19,6,15,48,1
644,322,157,70,43,26,4,7,48,0
645,323,71,102,48,30,2,13,48,0
646,323,429,105,33,18,8,15,48,1
647,324,73,105,36,23,7,14,48,1
648,324,190,94,33,23,4,13,48,0
649,325,109,99,34,24,4,15,48,0
650,325,363,116,50,18,4,6,48,1
651,326,260,71,33,27,6,10,48,0
652,326,53,99,48,30,3,15,48,1
653,327,328,78,36,15,7,7,48,1
654,327,260,70,44,23,8,11,48,0
655,328,239,109,49,30,6,14,48,1
656,328,67,71,50,17,3,13,48,0
657,329,453,90,43,30,5,9,48,0
658,329,150,103,43,17,3,12,48,1
659,330,152,106,36,25,4,12,48,1
660,330,354,75,44,23,5,5,48,0
661,331,341,84,45,29,5,6,48,0
662,331,190,116,31,24,2,11,48,1
663,332,361,82,49,19,2,5,48,0
664,332,185,107,39,17,3,12,48,1
665,333,115,78,35,19,2,14,48,0
666,333,50,79,48,27,2,15,48,1
667,334,410,84,34,27,3,9,48,0
668,334,332,97,38,16,3,14,48,1
669,335,47,101,50,22,8,15,48,1
670,335,342,82,45,20,3,10,48,0
671,336,34,75,42,18,8,8,48,0
672,336,85,115,48,18,6,12,48,1
673,337,251,94,31,19,8,8,48,0
674,337,10,115,31,16,5,5,48,1
675,338,50,85,50,17,5,8,48,0
676,338,57,93,49,15,5,11,48,1
677,339,176,110,43,19,5,10,48,1
678,339,452,98,40,20,6,11,48,0
679,340,221,105,30,23,5,9,48,1
680,340,83,104,47,22,4,9,48,0
681,341,123,90,43,17,2,11,48,1
682,341,162,72,50,25,5,6,48,0
683,342,418,86,43,29,4,10,48,1
684,342,188,74,35,28,3,7,48,0
685,343,289,82,34,18,4,13,48,0
686,343,412,114,49,26,4,14,48,1
687,344,404,120,43,23,3,12,48,1
688,344,165,83,37,25,4,7,48,0
689,345,400,94,49,28,6,10,48,0
690,345,85,108,35,27,3,15,48,1
691,346,125,72,41,27,4,5,48,0
692,346,183,98,44,22,5,9,48,1
693,347,187,97,39,17,6,9,48,0
694,347,390,103,31,24,6,5,48,1
695,348,93,90,38,17,6,12,48,0
